gene	Sample_ID	compendium_version	rollup_cohort
PRG4	TH34_1163_S01	v7	lowstringency_pd_outliers
PROCR	TH34_1163_S01	v7	lowstringency_pd_outliers
PTX3	TH34_1163_S01	v7	lowstringency_pd_outliers
RBM39	TH34_1163_S01	v7	lowstringency_pd_outliers
RNMT	TH34_1163_S01	v7	lowstringency_pd_outliers
RP11-138I1.4	TH34_1163_S01	v7	lowstringency_pd_outliers
RP11-229E13.4	TH34_1163_S01	v7	lowstringency_pd_outliers
RP11-452G18.2	TH34_1163_S01	v7	lowstringency_pd_outliers
RP11-467L13.4	TH34_1163_S01	v7	lowstringency_pd_outliers
RP4-765C7.2	TH34_1163_S01	v7	lowstringency_pd_outliers
RPL23AP42	TH34_1163_S01	v7	lowstringency_pd_outliers
RPL41P2	TH34_1163_S01	v7	lowstringency_pd_outliers
S1PR3	TH34_1163_S01	v7	lowstringency_pd_outliers
SAP18	TH34_1163_S01	v7	lowstringency_pd_outliers
SCARA5	TH34_1163_S01	v7	lowstringency_pd_outliers
SF3B6	TH34_1163_S01	v7	lowstringency_pd_outliers
SLC30A9	TH34_1163_S01	v7	lowstringency_pd_outliers
SMIM3	TH34_1163_S01	v7	lowstringency_pd_outliers
SNHG7	TH34_1163_S01	v7	lowstringency_pd_outliers
SNORA27	TH34_1163_S01	v7	lowstringency_pd_outliers
SNORA51	TH34_1163_S01	v7	lowstringency_pd_outliers
SPG20	TH34_1163_S01	v7	lowstringency_pd_outliers
SRP9P1	TH34_1163_S01	v7	lowstringency_pd_outliers
