Sample_ID	comparison_cohort	gene	pathway_support	donor_ID	high_level_cohort	log2TPM1
TH34_1452_S01	TCGA	TSC2	TRUE	TH34_1452	TCGA	8.470618
TH34_1452_S01	TH03_TH34	TSC2	TRUE	TH34_1452	TH03_TH34	8.470618
TH34_1455_S01	TCGA	CDK9	TRUE	TH34_1455	TCGA	7.040016
TH34_1455_S01	TH03_TH34	CDK9	FALSE	TH34_1455	TH03_TH34	7.040016
TH34_1455_S01	TCGA	FGFR3	FALSE	TH34_1455	TCGA	9.301633
TH34_1455_S01	TCGA	IGF2	FALSE	TH34_1455	TCGA	12.69007
TH34_1456_S02	TCGA	GATA2	TRUE	TH34_1456	TCGA	6.701272
TH34_1456_S02	TCGA	KDR	TRUE	TH34_1456	TCGA	6.117695
TH34_2292_S01	TCGA	BCL6	TRUE	TH34_2292	TCGA	7.443524
TH34_2292_S01	TCGA	ETV1	FALSE	TH34_2292	TCGA	7.131651
TH34_2292_S01	TCGA	HMOX1	TRUE	TH34_2292	TCGA	9.406077
TH34_2292_S01	TCGA	VEGFA	TRUE	TH34_2292	TCGA	10.570899
TH34_2292_S01	TH03_TH34	VEGFA	TRUE	TH34_2292	TH03_TH34	10.570899
TH34_2293_S01	TCGA	IGF2	TRUE	TH34_2293	TCGA	10.012359
TH34_2351_S01	TCGA	IGF2	TRUE	TH34_2351	TCGA	11.231011
TH34_2410_S01	TCGA	IGF2	TRUE	TH34_2410	TCGA	9.8844
TH34_2411_S01	TCGA	FGFR1	TRUE	TH34_2411	TCGA	8.895454
TH34_2411_S01	TCGA	MAP2K2	TRUE	TH34_2411	TCGA	8.189775
TH34_2411_S01	TH03_TH34	MAP2K2	TRUE	TH34_2411	TH03_TH34	8.189775
TH34_2666_S01	TCGA	FLT4	FALSE	TH34_2666	TCGA	5.512227
TH34_1380_S01	TH03_TH34	MAP2K2	TRUE	TH34_1380	TH03_TH34	7.922317
TH34_1400_S01	TH03_TH34	NTRK2	TRUE	TH34_1400	TH03_TH34	5.431957
TH34_1444_S01	TH03_TH34	AKT1	TRUE	TH34_1444	TH03_TH34	8.010836
TH34_1444_S01	TH03_TH34	DEPTOR	TRUE	TH34_1444	TH03_TH34	6.238405
TH34_1444_S01	TH03_TH34	NTRK2	TRUE	TH34_1444	TH03_TH34	5.90641
TH34_1445_S02	TH03_TH34	NTRK2	TRUE	TH34_1445	TH03_TH34	6.547666
TH34_1446_S01	TH03_TH34	NTRK2	TRUE	TH34_1446	TH03_TH34	5.30305
TH34_1452_S01	TH03_TH34	AKT1	TRUE	TH34_1452	TH03_TH34	8.105332
TH34_1452_S01	TH03_TH34	NTRK2	TRUE	TH34_1452	TH03_TH34	6.862699
TH34_1455_S01	TH03_TH34	NTRK2	FALSE	TH34_1455	TH03_TH34	8.308885
TH34_2293_S01	TH03_TH34	STAT1	FALSE	TH34_2293	TH03_TH34	7.523013
TH34_1381_S01	TH03_TH34	NTRK2	TRUE	TH34_1381	TH03_TH34	7.211012
TH34_1381_S01	TH03_TH34	PIK3R1	TRUE	TH34_1381	TH03_TH34	7.225063
TH34_1149_S02	Treehouse_pc	IGF1	TRUE	TH34_1149	Treehouse	6.599318
TH34_1149_S02	Treehouse_pd	IGF1	FALSE	TH34_1149	Treehouse	6.599318
TH34_1149_S02	Treehouse_pc	NTRK3	FALSE	TH34_1149	Treehouse	5.804002
TH34_1149_S02	Treehouse_pd	NTRK3	FALSE	TH34_1149	Treehouse	5.804002
TH34_1150_S02	Treehouse_pd	BCL6	FALSE	TH34_1150	Treehouse	7.423662
TH34_1150_S02	Treehouse_pd	CDK9	FALSE	TH34_1150	Treehouse	6.698357
TH34_1150_S02	Treehouse_pc	JAK1	FALSE	TH34_1150	Treehouse	8.600879
TH34_1150_S02	Treehouse_pc	PDCD1	FALSE	TH34_1150	Treehouse	6.334139
TH34_1162_S01	Treehouse_pd	CSF1R	TRUE	TH34_1162	Treehouse	6.274821
TH34_1162_S01	Treehouse_pc	HMOX1	FALSE	TH34_1162	Treehouse	9.943306
TH34_1162_S01	Treehouse_pd	HMOX1	TRUE	TH34_1162	Treehouse	9.943306
TH34_1162_S01	Treehouse_pc	JAK1	FALSE	TH34_1162	Treehouse	7.774458
TH34_1163_S01	Treehouse_pc	IGF2	FALSE	TH34_1163	Treehouse	11.342553
TH34_1179_S01	Treehouse_pc	FGFR1	TRUE	TH34_1179	Treehouse	9.404226
TH34_1179_S01	Treehouse_pc	PTCH1	TRUE	TH34_1179	Treehouse	6.042644
TH34_1238_S01	Treehouse_pc	BTK	TRUE	TH34_1238	Treehouse	8.186065
TH34_1238_S01	Treehouse_pc	MS4A1	TRUE	TH34_1238	Treehouse	8.134529
TH34_1238_S01	Treehouse_pc	PIK3CD	TRUE	TH34_1238	Treehouse	6.276311
TH34_1239_S01	Treehouse_pc	BTK	TRUE	TH34_1239	Treehouse	6.023699
TH34_1239_S01	Treehouse_pc	PIK3CD	TRUE	TH34_1239	Treehouse	6.846493
TH34_1239_S01	Treehouse_pc	PIK3R5	TRUE	TH34_1239	Treehouse	6.172327
TH34_1349_S01	Treehouse_pc	ETV1	TRUE	TH34_1349	Treehouse	7.699954
TH34_1349_S01	Treehouse_pc	IGF2	TRUE	TH34_1349	Treehouse	10.155995
TH34_1349_S01	Treehouse_pc	KIT	FALSE	TH34_1349	Treehouse	8.93705
TH34_1349_S02	Treehouse_pc	ETV1	TRUE	TH34_1349	Treehouse	8.254934
TH34_1349_S02	Treehouse_pc	KIT	FALSE	TH34_1349	Treehouse	10.05577
TH34_1349_S02	Treehouse_pc	PTCH1	TRUE	TH34_1349	Treehouse	6.037821
TH34_1350_S01	Treehouse_pc	BTK	TRUE	TH34_1350	Treehouse	6.173327
TH34_1350_S01	Treehouse_pc	PIK3R5	TRUE	TH34_1350	Treehouse	5.976134
TH34_1351_S01	Treehouse_pc	MAP2K4	FALSE	TH34_1351	Treehouse	5.965092
TH34_1351_S01	Treehouse_pd	MAP2K4	TRUE	TH34_1351	Treehouse	5.965092
TH34_1352_S01	Treehouse_pd	CCND2	FALSE	TH34_1352	Treehouse	6.975103
TH34_1352_S01	Treehouse_pc	FGFR1	TRUE	TH34_1352	Treehouse	10.286061
TH34_1352_S01	Treehouse_pc	IGF2	TRUE	TH34_1352	Treehouse	10.871774
TH34_1379_S01	Treehouse_pd	CCND2	TRUE	TH34_1379	Treehouse	6.249635
TH34_1379_S01	Treehouse_pc	HMOX1	TRUE	TH34_1379	Treehouse	9.170276
TH34_1379_S01	Treehouse_pd	HMOX1	TRUE	TH34_1379	Treehouse	9.170276
TH34_1379_S01	Treehouse_pd	IGF2	TRUE	TH34_1379	Treehouse	9.855242
TH34_1380_S01	Treehouse_pc	IGF2	TRUE	TH34_1380	Treehouse	10.118837
TH34_1380_S01	Treehouse_pc	NOTCH3	TRUE	TH34_1380	Treehouse	9.85655
TH34_1380_S01	Treehouse_pd	NOTCH3	TRUE	TH34_1380	Treehouse	9.85655
TH34_1381_S01	Treehouse_pc	HSP90B1	TRUE	TH34_1381	Treehouse	10.749484
TH34_1381_S01	Treehouse_pd	HSP90B1	TRUE	TH34_1381	Treehouse	10.749484
TH34_1381_S01	Treehouse_pd	PARP1	FALSE	TH34_1381	Treehouse	8.216115
TH34_1381_S01	Treehouse_pc	VEGFA	TRUE	TH34_1381	Treehouse	11.031426
TH34_1399_S01	Treehouse_pc	IGF1	TRUE	TH34_1399	Treehouse	5.737687
TH34_1399_S01	Treehouse_pc	IGF2	TRUE	TH34_1399	Treehouse	10.800989
TH34_1400_S01	Treehouse_pd	STAT5A	TRUE	TH34_1400	Treehouse	6.368943
TH34_1412_S01	Treehouse_pc	IGF2	TRUE	TH34_1412	Treehouse	11.87254
TH34_1412_S01	Treehouse_pc	KDR	TRUE	TH34_1412	Treehouse	7.596264
TH34_1412_S01	Treehouse_pc	NTRK3	TRUE	TH34_1412	Treehouse	5.633722
TH34_1414_S01	Treehouse_pc	ALK	FALSE	TH34_1414	Treehouse	5.261531
TH34_1414_S01	Treehouse_pc	CDK4	TRUE	TH34_1414	Treehouse	9.38351
TH34_1414_S01	Treehouse_pc	FGFR4	FALSE	TH34_1414	Treehouse	8.322153
TH34_1414_S01	Treehouse_pc	IGF2	FALSE	TH34_1414	Treehouse	10.476746
TH34_1414_S01	Treehouse_pc	STAT2	FALSE	TH34_1414	Treehouse	9.01064
TH34_1414_S01	Treehouse_pd	STAT2	FALSE	TH34_1414	Treehouse	9.01064
TH34_1415_S01	Treehouse_pc	FLT4	FALSE	TH34_1415	Treehouse	6.644289
TH34_1415_S01	Treehouse_pd	FLT4	FALSE	TH34_1415	Treehouse	6.644289
TH34_1415_S01	Treehouse_pc	HMOX1	TRUE	TH34_1415	Treehouse	9.937492
TH34_1415_S01	Treehouse_pd	HMOX1	FALSE	TH34_1415	Treehouse	9.937492
TH34_1415_S01	Treehouse_pc	IL6	TRUE	TH34_1415	Treehouse	6.533719
TH34_1444_S01	Treehouse_pd	AKT1	TRUE	TH34_1444	Treehouse	8.010836
TH34_1444_S01	Treehouse_pc	AKT2	TRUE	TH34_1444	Treehouse	10.1755
TH34_1444_S01	Treehouse_pd	AKT2	TRUE	TH34_1444	Treehouse	10.1755
TH34_1444_S01	Treehouse_pc	KIT	TRUE	TH34_1444	Treehouse	7.084596
TH34_1444_S01	Treehouse_pd	KIT	TRUE	TH34_1444	Treehouse	7.084596
TH34_1444_S01	Treehouse_pd	PIK3R2	TRUE	TH34_1444	Treehouse	6.412443
TH34_1444_S01	Treehouse_pd	RAF1	TRUE	TH34_1444	Treehouse	6.903038
TH34_1444_S01	Treehouse_pc	TSC2	TRUE	TH34_1444	Treehouse	8.440329
TH34_1444_S01	Treehouse_pd	TSC2	TRUE	TH34_1444	Treehouse	8.440329
TH34_1444_S01	Treehouse_pc	VEGFC	TRUE	TH34_1444	Treehouse	6.67948
TH34_1444_S01	Treehouse_pd	VEGFC	TRUE	TH34_1444	Treehouse	6.67948
TH34_1445_S02	Treehouse_pd	HMOX1	TRUE	TH34_1445	Treehouse	7.875841
TH34_1445_S02	Treehouse_pd	IGF2	TRUE	TH34_1445	Treehouse	9.835735
TH34_1445_S02	Treehouse_pc	NTRK3	FALSE	TH34_1445	Treehouse	6.067596
TH34_1445_S02	Treehouse_pd	VEGFA	TRUE	TH34_1445	Treehouse	10.195901
TH34_1445_S02	Treehouse_pc	WEE1	TRUE	TH34_1445	Treehouse	7.406503
TH34_1445_S02	Treehouse_pd	WEE1	TRUE	TH34_1445	Treehouse	7.406503
TH34_1446_S01	Treehouse_pc	NTRK3	FALSE	TH34_1446	Treehouse	4.720826
TH34_1447_S01	Treehouse_pd	CCNE1	TRUE	TH34_1447	Treehouse	5.767655
TH34_1447_S01	Treehouse_pc	PARP2	TRUE	TH34_1447	Treehouse	6.796883
TH34_1447_S01	Treehouse_pd	PARP2	TRUE	TH34_1447	Treehouse	6.796883
TH34_1447_S02	Treehouse_pc	HMOX1	FALSE	TH34_1447	Treehouse	9.618092
TH34_1447_S02	Treehouse_pc	IGF2	FALSE	TH34_1447	Treehouse	10.240171
TH34_1452_S01	Treehouse_pc	HDAC4	FALSE	TH34_1452	Treehouse	10.909796
TH34_1452_S01	Treehouse_pd	HDAC4	TRUE	TH34_1452	Treehouse	10.909796
TH34_1452_S01	Treehouse_pc	IGF2	TRUE	TH34_1452	Treehouse	10.641636
TH34_1452_S01	Treehouse_pc	PIK3R2	TRUE	TH34_1452	Treehouse	7.408712
TH34_1452_S01	Treehouse_pc	TSC2	TRUE	TH34_1452	Treehouse	8.470618
TH34_1455_S01	Treehouse_pc	CDK9	FALSE	TH34_1455	Treehouse	7.040016
TH34_1455_S01	Treehouse_pc	IGF2	FALSE	TH34_1455	Treehouse	12.69007
TH34_1455_S01	Treehouse_pc	NTRK2	FALSE	TH34_1455	Treehouse	8.308885
TH34_1456_S02	Treehouse_pc	GATA2	FALSE	TH34_1456	Treehouse	6.701272
TH34_1456_S02	Treehouse_pd	GATA2	TRUE	TH34_1456	Treehouse	6.701272
TH34_1456_S02	Treehouse_pd	HDAC7	TRUE	TH34_1456	Treehouse	6.811343
TH34_2292_S01	Treehouse_pc	FLT4	TRUE	TH34_2292	Treehouse	7.678987
TH34_2292_S01	Treehouse_pc	HMOX1	TRUE	TH34_2292	Treehouse	9.406077
TH34_2292_S01	Treehouse_pc	VEGFA	TRUE	TH34_2292	Treehouse	10.570899
TH34_2293_S01	Treehouse_pc	IGF2	TRUE	TH34_2293	Treehouse	10.012359
TH34_2351_S01	Treehouse_pd	HMOX1	TRUE	TH34_2351	Treehouse	8.098348
TH34_2351_S01	Treehouse_pc	IGF2	TRUE	TH34_2351	Treehouse	11.231011
TH34_2411_S01	Treehouse_pc	CDK4	TRUE	TH34_2411	Treehouse	11.269588
TH34_2411_S01	Treehouse_pd	CDK4	TRUE	TH34_2411	Treehouse	11.269588
TH34_2411_S01	Treehouse_pc	MAP2K2	TRUE	TH34_2411	Treehouse	8.189775
TH34_2411_S01	Treehouse_pd	MAP2K2	TRUE	TH34_2411	Treehouse	8.189775
TH34_2411_S01	Treehouse_pc	MDM2	TRUE	TH34_2411	Treehouse	8.432625
TH34_2411_S01	Treehouse_pd	MDM2	TRUE	TH34_2411	Treehouse	8.432625
TH34_2666_S01	Treehouse_pc	FLT4	FALSE	TH34_2666	Treehouse	5.512227
TH34_2666_S01	Treehouse_pc	MDM2	FALSE	TH34_2666	Treehouse	8.282393
