gene	Sample_ID	compendium_version	rollup_cohort
PRF1	TH34_1239_S01	v7	pandisease
AL442127.1	TH34_1239_S01	v7	pandisease
FCGR3B	TH34_1239_S01	v7	pandisease
GZMA	TH34_1239_S01	v7	pandisease
IL2RB	TH34_1239_S01	v7	pandisease
ORM1	TH34_1239_S01	v7	pandisease
LGMN	TH34_1239_S01	v7	pandisease
DEFA1	TH34_1239_S01	v7	pandisease
ARG1	TH34_1239_S01	v7	pandisease
SDC2	TH34_1239_S01	v7	pandisease
GZMH	TH34_1239_S01	v7	pandisease
C1QB	TH34_1239_S01	v7	pandisease
PKIB	TH34_1239_S01	v7	pandisease
SHOX2	TH34_1239_S01	v7	pandisease
MMP8	TH34_1239_S01	v7	pandisease
MMP9	TH34_1239_S01	v7	pandisease
GRIP1	TH34_1239_S01	v7	pandisease
IL32	TH34_1239_S01	v7	pandisease
MSLN	TH34_1239_S01	v7	pandisease
HOTAIRM1_1	TH34_1239_S01	v7	pandisease
C1QC	TH34_1239_S01	v7	pandisease
LTF	TH34_1239_S01	v7	pandisease
RP11-229E13.4	TH34_1240_S01	v7	pandisease
MT-CO2	TH34_1240_S01	v7	pandisease
MT-CO3	TH34_1240_S01	v7	pandisease
NDUFB9	TH34_1240_S01	v7	pandisease
CKM	TH34_1240_S01	v7	pandisease
HIST1H4J	TH34_1240_S01	v7	pandisease
C7orf55	TH34_1240_S01	v7	pandisease
PES1	TH34_1240_S01	v7	pandisease
MYL2	TH34_1240_S01	v7	pandisease
TNNC1	TH34_1240_S01	v7	pandisease
TNNC2	TH34_1240_S01	v7	pandisease
MYL1	TH34_1240_S01	v7	pandisease
GNL2	TH34_1240_S01	v7	pandisease
MT-ND3	TH34_1240_S01	v7	pandisease
MT-ND4	TH34_1240_S01	v7	pandisease
NDUFB7	TH34_1240_S01	v7	pandisease
PYGM	TH34_1240_S01	v7	pandisease
MTND2P28	TH34_1240_S01	v7	pandisease
WDR4	TH34_1240_S01	v7	pandisease
AL132780.1	TH34_1240_S01	v7	pandisease
MUC6	TH34_1240_S01	v7	pandisease
CAMKV	TH34_1240_S01	v7	pandisease
LDB3	TH34_1240_S01	v7	pandisease
GUK1	TH34_1240_S01	v7	pandisease
MYL3	TH34_1240_S01	v7	pandisease
COX6A2	TH34_1240_S01	v7	pandisease
TRAPPC5	TH34_1240_S01	v7	pandisease
YDJC	TH34_1240_S01	v7	pandisease
POP7	TH34_1240_S01	v7	pandisease
SMPX	TH34_1240_S01	v7	pandisease
CSRP3	TH34_1240_S01	v7	pandisease
SNHG9	TH34_1240_S01	v7	pandisease
SLC19A1	TH34_1240_S01	v7	pandisease
ACTA1	TH34_1240_S01	v7	pandisease
PRR34-AS1	TH34_1240_S01	v7	pandisease
ALG3	TH34_1240_S01	v7	pandisease
DES	TH34_1240_S01	v7	pandisease
TBRG4	TH34_1240_S01	v7	pandisease
PPP1R27	TH34_1240_S01	v7	pandisease
UNC93B1	TH34_1240_S01	v7	pandisease
MZB1	TH34_1240_S01	v7	pandisease
DDX56	TH34_1240_S01	v7	pandisease
UBA52	TH34_1240_S01	v7	pandisease
OTX2	TH34_1240_S01	v7	pandisease
PSMG4	TH34_1240_S01	v7	pandisease
TIMM13	TH34_1240_S01	v7	pandisease
PSMG3	TH34_1240_S01	v7	pandisease
CA3	TH34_1240_S01	v7	pandisease
TOMM7	TH34_1240_S01	v7	pandisease
RNU1-3	TH34_1240_S01	v7	pandisease
RNU1-1	TH34_1240_S01	v7	pandisease
AL662801.1	TH34_1240_S01	v7	pandisease
DDT	TH34_1240_S01	v7	pandisease
CTD-2017F17.2	TH34_1240_S01	v7	pandisease
MRPL4	TH34_1240_S01	v7	pandisease
TOMM5	TH34_1240_S01	v7	pandisease
AL592211.1	TH34_1240_S01	v7	pandisease
POLR2H	TH34_1240_S01	v7	pandisease
XIRP2	TH34_1240_S01	v7	pandisease
POLR2J	TH34_1240_S01	v7	pandisease
MB	TH34_1240_S01	v7	pandisease
MRPS24	TH34_1240_S01	v7	pandisease
SMIM4	TH34_1240_S01	v7	pandisease
DNAJC2	TH34_1240_S01	v7	pandisease
MRPS21	TH34_1240_S01	v7	pandisease
CBS	TH34_1240_S01	v7	pandisease
KLHL41	TH34_1240_S01	v7	pandisease
POLR2F	TH34_1240_S01	v7	pandisease
MYBPC1	TH34_1240_S01	v7	pandisease
